round,pair,cosine_distance,window_mean_cosine_distance
0,agent_0_vs_agent_1,0.301637,0.301637
1,agent_0_vs_agent_1,0.314518,0.308078
2,agent_0_vs_agent_1,0.359112,0.325089
3,agent_0_vs_agent_1,0.256953,0.308055
4,agent_0_vs_agent_1,0.287734,0.303991
5,agent_0_vs_agent_1,0.225266,0.29087
6,agent_0_vs_agent_1,0.239241,0.283495
7,agent_0_vs_agent_1,0.379699,0.29552
8,agent_0_vs_agent_1,0.502976,0.318571
9,agent_0_vs_agent_1,0.277914,0.314505
10,agent_0_vs_agent_1,0.30885,0.315226
11,agent_0_vs_agent_1,0.433383,0.327113
12,agent_0_vs_agent_1,0.188957,0.310097
13,agent_0_vs_agent_1,0.387764,0.323178
14,agent_0_vs_agent_1,0.290318,0.323437
15,agent_0_vs_agent_1,0.283176,0.329228
16,agent_0_vs_agent_1,0.310008,0.336304
17,agent_0_vs_agent_1,0.258705,0.324205
18,agent_0_vs_agent_1,0.326345,0.306542
19,agent_0_vs_agent_1,0.376404,0.316391
20,agent_0_vs_agent_1,0.377942,0.3233
21,agent_0_vs_agent_1,0.265682,0.30653
22,agent_0_vs_agent_1,0.424208,0.330055
23,agent_0_vs_agent_1,0.21475,0.312754
24,agent_0_vs_agent_1,0.309837,0.314706
25,agent_0_vs_agent_1,0.423116,0.3287
26,agent_0_vs_agent_1,0.366883,0.334387
27,agent_0_vs_agent_1,0.325955,0.341112
28,agent_0_vs_agent_1,0.242097,0.332688
29,agent_0_vs_agent_1,0.343466,0.329394
30,agent_0_vs_agent_1,0.349273,0.326527
31,agent_0_vs_agent_1,0.405224,0.340481
32,agent_0_vs_agent_1,0.3374,0.3318
33,agent_0_vs_agent_1,0.229661,0.333291
34,agent_0_vs_agent_1,0.36551,0.338858
35,agent_0_vs_agent_1,0.254622,0.322009
36,agent_0_vs_agent_1,0.268765,0.312197
37,agent_0_vs_agent_1,0.416418,0.321244
38,agent_0_vs_agent_1,0.423095,0.339343
39,agent_0_vs_agent_1,0.460919,0.351089
40,agent_0_vs_agent_1,0.370773,0.353239
41,agent_0_vs_agent_1,0.453674,0.358084
42,agent_0_vs_agent_1,0.322999,0.356644
