round,pair,cosine_distance,window_mean_cosine_distance
0,agent_0_vs_agent_1,0.146179,0.146179
1,agent_0_vs_agent_1,0.222992,0.184586
2,agent_0_vs_agent_1,0.294322,0.221164
3,agent_0_vs_agent_1,0.391562,0.263764
4,agent_0_vs_agent_1,0.380734,0.287158
5,agent_0_vs_agent_1,0.338075,0.295644
6,agent_0_vs_agent_1,0.364346,0.305459
7,agent_0_vs_agent_1,0.416618,0.319353
8,agent_0_vs_agent_1,0.288797,0.315958
9,agent_0_vs_agent_1,0.378704,0.322233
10,agent_0_vs_agent_1,0.523732,0.359988
11,agent_0_vs_agent_1,0.260661,0.363755
12,agent_0_vs_agent_1,0.245471,0.35887
13,agent_0_vs_agent_1,0.372198,0.356934
14,agent_0_vs_agent_1,0.212863,0.340146
15,agent_0_vs_agent_1,0.182609,0.3246
16,agent_0_vs_agent_1,0.246421,0.312807
17,agent_0_vs_agent_1,0.215291,0.292675
18,agent_0_vs_agent_1,0.326663,0.296461
19,agent_0_vs_agent_1,0.352163,0.293807
20,agent_0_vs_agent_1,0.161926,0.257627
21,agent_0_vs_agent_1,0.204687,0.252029
22,agent_0_vs_agent_1,0.397725,0.267255
23,agent_0_vs_agent_1,0.295834,0.259618
24,agent_0_vs_agent_1,0.385227,0.276855
25,agent_0_vs_agent_1,0.34814,0.293408
26,agent_0_vs_agent_1,0.313988,0.300164
27,agent_0_vs_agent_1,0.362929,0.314928
28,agent_0_vs_agent_1,0.328531,0.315115
29,agent_0_vs_agent_1,0.28181,0.30808
30,agent_0_vs_agent_1,0.31158,0.323045
31,agent_0_vs_agent_1,0.636951,0.366272
32,agent_0_vs_agent_1,0.167546,0.343254
33,agent_0_vs_agent_1,0.322136,0.345884
34,agent_0_vs_agent_1,0.297164,0.337078
35,agent_0_vs_agent_1,0.254154,0.327679
36,agent_0_vs_agent_1,0.27819,0.324099
37,agent_0_vs_agent_1,0.337707,0.321577
38,agent_0_vs_agent_1,0.528153,0.341539
39,agent_0_vs_agent_1,0.46066,0.359424
40,agent_0_vs_agent_1,0.321771,0.360443
41,agent_0_vs_agent_1,0.261692,0.322917
42,agent_0_vs_agent_1,0.208139,0.326977
43,agent_0_vs_agent_1,0.347765,0.32954
44,agent_0_vs_agent_1,0.148675,0.314691
45,agent_0_vs_agent_1,0.395642,0.328839
46,agent_0_vs_agent_1,0.260988,0.327119
47,agent_0_vs_agent_1,0.292293,0.322578
48,agent_0_vs_agent_1,0.250588,0.294821
0,agent_0_vs_agent_2,0.263336,0.263336
1,agent_0_vs_agent_2,0.295553,0.279445
2,agent_0_vs_agent_2,0.332313,0.297067
3,agent_0_vs_agent_2,0.20704,0.27456
4,agent_0_vs_agent_2,0.265853,0.272819
5,agent_0_vs_agent_2,0.219722,0.26397
6,agent_0_vs_agent_2,0.270672,0.264927
7,agent_0_vs_agent_2,0.367203,0.277711
8,agent_0_vs_agent_2,0.329552,0.283472
9,agent_0_vs_agent_2,0.469117,0.302036
10,agent_0_vs_agent_2,0.490606,0.324763
11,agent_0_vs_agent_2,0.40418,0.335626
12,agent_0_vs_agent_2,0.270259,0.32942
13,agent_0_vs_agent_2,0.290344,0.337751
14,agent_0_vs_agent_2,0.314139,0.342579
15,agent_0_vs_agent_2,0.181467,0.338754
16,agent_0_vs_agent_2,0.302442,0.341931
17,agent_0_vs_agent_2,0.365512,0.341762
18,agent_0_vs_agent_2,0.361561,0.344963
19,agent_0_vs_agent_2,0.282766,0.326328
20,agent_0_vs_agent_2,0.550514,0.332318
21,agent_0_vs_agent_2,0.255111,0.317411
22,agent_0_vs_agent_2,0.30123,0.320509
23,agent_0_vs_agent_2,0.354823,0.326956
24,agent_0_vs_agent_2,0.367084,0.332251
25,agent_0_vs_agent_2,0.32892,0.346996
26,agent_0_vs_agent_2,0.269825,0.343735
27,agent_0_vs_agent_2,0.415452,0.348729
28,agent_0_vs_agent_2,0.31293,0.343866
29,agent_0_vs_agent_2,0.358152,0.351404
30,agent_0_vs_agent_2,0.340797,0.330432
31,agent_0_vs_agent_2,0.65373,0.370294
32,agent_0_vs_agent_2,0.23939,0.36411
33,agent_0_vs_agent_2,0.297228,0.358351
34,agent_0_vs_agent_2,0.324384,0.354081
35,agent_0_vs_agent_2,0.292818,0.350471
36,agent_0_vs_agent_2,0.221659,0.345654
37,agent_0_vs_agent_2,0.326441,0.336753
38,agent_0_vs_agent_2,0.317259,0.337186
39,agent_0_vs_agent_2,0.326766,0.334047
40,agent_0_vs_agent_2,0.368184,0.336786
41,agent_0_vs_agent_2,0.277047,0.299117
42,agent_0_vs_agent_2,0.330423,0.308221
43,agent_0_vs_agent_2,0.27151,0.305649
44,agent_0_vs_agent_2,0.370322,0.310243
45,agent_0_vs_agent_2,0.353775,0.316338
46,agent_0_vs_agent_2,0.213196,0.315492
47,agent_0_vs_agent_2,0.228226,0.305671
48,agent_0_vs_agent_2,0.21669,0.295614
0,agent_1_vs_agent_2,0.287464,0.287464
1,agent_1_vs_agent_2,0.217461,0.252463
2,agent_1_vs_agent_2,0.374409,0.293111
3,agent_1_vs_agent_2,0.348269,0.306901
4,agent_1_vs_agent_2,0.309096,0.30734
5,agent_1_vs_agent_2,0.382218,0.31982
6,agent_1_vs_agent_2,0.31702,0.31942
7,agent_1_vs_agent_2,0.475833,0.338971
8,agent_1_vs_agent_2,0.35787,0.341071
9,agent_1_vs_agent_2,0.255512,0.332515
10,agent_1_vs_agent_2,0.38459,0.342228
11,agent_1_vs_agent_2,0.432455,0.363727
12,agent_1_vs_agent_2,0.364105,0.362697
13,agent_1_vs_agent_2,0.324527,0.360323
14,agent_1_vs_agent_2,0.404278,0.369841
15,agent_1_vs_agent_2,0.196591,0.351278
16,agent_1_vs_agent_2,0.255166,0.345093
17,agent_1_vs_agent_2,0.373528,0.334862
18,agent_1_vs_agent_2,0.190887,0.318164
19,agent_1_vs_agent_2,0.336325,0.326245
20,agent_1_vs_agent_2,0.576327,0.345419
21,agent_1_vs_agent_2,0.303206,0.332494
22,agent_1_vs_agent_2,0.356626,0.331746
23,agent_1_vs_agent_2,0.346834,0.333977
24,agent_1_vs_agent_2,0.316512,0.3252
25,agent_1_vs_agent_2,0.379588,0.3435
